Time (s),Barometer Altitude (m),Residual,Severity (sigma)
78.5,44181.666569514804,-342.5827110822429,3.26
78.60000000000001,44177.70564029686,-376.54722477425094,3.59
78.7,44173.21660794726,-408.15472806346224,3.9
78.80000000000001,44180.41506907735,-425.27558172780846,4.07
78.9,44178.31289641317,-449.75219835250755,4.3
79.0,44183.49980055672,-464.4984093981184,4.45
79.10000000000001,44176.28818943017,-489.771338225466,4.69
79.2,44174.764781290185,-506.7898477245617,4.86
79.30000000000001,44173.106247529824,-521.8519533667204,5.01
79.4,44177.79851920892,-528.5642140711716,5.07
79.5,44177.512942657224,-538.7537096296801,5.17
79.60000000000001,44172.34121989803,-552.0978533541638,5.3
79.7,44166.73277077059,-563.9271478207083,5.41
79.80000000000001,44177.93785970995,-557.059748390413,5.35
79.9,44173.13138250097,-565.4814356059287,5.43
80.0,44168.032945277766,-572.5191127816724,5.5
80.10000000000001,44171.407185644166,-569.4795918609598,5.47
80.2,44172.63381816864,-567.6086597113899,5.45
80.30000000000001,44178.02323837977,-560.5298579843948,5.38
80.4,44173.01109581422,-563.140191426668,5.41
80.5,44180.978593683045,-551.4583730191807,5.29
80.60000000000001,44171.52032071409,-556.7823523673214,5.35
80.7,44186.344485349146,-536.3520588707615,5.15
80.80000000000001,44167.90961725708,-549.3280143836673,5.27
80.9,44174.94487286764,-534.9107601761425,5.13
81.0,44171.12826686172,-531.1280590788374,5.1
81.10000000000001,44160.45930998489,-533.3338550406916,5.12
81.2,44178.62278390213,-505.4733535605992,4.85
81.30000000000001,44172.90129957331,-502.15882772790064,4.81
81.4,44176.498673476584,-488.6902542872631,4.68
81.5,44180.8739668044,-474.2557340395506,4.54
81.60000000000001,44177.972849342914,-466.9922875616903,4.47
81.7,44181.38408167053,-452.8821872102708,4.33
81.80000000000001,44171.11129542209,-452.3702670468774,4.33
81.9,44172.36870977594,-439.4154180393525,4.2
82.0,44170.98871038268,-428.9705995970362,4.1
82.10000000000001,44177.45147793189,-410.4179429147189,3.92
82.2,44175.358453963934,-400.6890127166116,3.83
82.30000000000001,44173.43886359114,-390.53467336245376,3.73
82.4,44173.251851655856,-378.43932469925494,3.61
82.5,44179.21222221482,-360.1291444079616,3.43
82.60000000000001,44176.31780298867,-351.0246692557412,3.34
82.7,44171.7365457987,-343.40692770425085,3.27
82.80000000000001,44176.19438338634,-326.4708280591658,3.1
